district_id,state,district,canonical_district_name,geographic_level,latitude,longitude,geometry_source,geometry_version,administrative_boundary_notes
SD000,Andhra Pradesh,ANANTAPUR,Anantapur,district,14.47477,77.57123,"FAO GAUL Simplified 500m, FAO/GAUL_SIMPLIFIED_500m/2015/level2, ADM2 polygon centroid (polygon itself used for spatial aggregation in the weather/satellite pipelines, not stored in this CSV)",GAUL 2015 release (see module docstring: boundary vintage is NOT reliably 2015 for every feature),No known boundary issue for this district.
SD001,Andhra Pradesh,CHITTOOR,Chittoor,district,13.4569,79.00382,"FAO GAUL Simplified 500m, FAO/GAUL_SIMPLIFIED_500m/2015/level2, ADM2 polygon centroid (polygon itself used for spatial aggregation in the weather/satellite pipelines, not stored in this CSV)",GAUL 2015 release (see module docstring: boundary vintage is NOT reliably 2015 for every feature),No known boundary issue for this district.
SD002,Andhra Pradesh,EAST GODAVARI,East Godavari,district,17.19317,81.99501,"FAO GAUL Simplified 500m, FAO/GAUL_SIMPLIFIED_500m/2015/level2, ADM2 polygon centroid (polygon itself used for spatial aggregation in the weather/satellite pipelines, not stored in this CSV)",GAUL 2015 release (see module docstring: boundary vintage is NOT reliably 2015 for every feature),No known boundary issue for this district.
SD003,Andhra Pradesh,GUNTUR,Guntur,district,16.29243,80.08031,"FAO GAUL Simplified 500m, FAO/GAUL_SIMPLIFIED_500m/2015/level2, ADM2 polygon centroid (polygon itself used for spatial aggregation in the weather/satellite pipelines, not stored in this CSV)",GAUL 2015 release (see module docstring: boundary vintage is NOT reliably 2015 for every feature),No known boundary issue for this district.
SD004,Andhra Pradesh,KADAPA,Cuddapah,district,14.45062,78.77465,"FAO GAUL Simplified 500m, FAO/GAUL_SIMPLIFIED_500m/2015/level2, ADM2 polygon centroid (polygon itself used for spatial aggregation in the weather/satellite pipelines, not stored in this CSV)",GAUL 2015 release (see module docstring: boundary vintage is NOT reliably 2015 for every feature),Matched via documented alias 'Cuddapah': Renamed from Cuddapah to Kadapa in 2011 (Andhra Pradesh govt notification); GAUL predates the rename.
SD005,Andhra Pradesh,KRISHNA,Krishna,district,16.56394,80.78572,"FAO GAUL Simplified 500m, FAO/GAUL_SIMPLIFIED_500m/2015/level2, ADM2 polygon centroid (polygon itself used for spatial aggregation in the weather/satellite pipelines, not stored in this CSV)",GAUL 2015 release (see module docstring: boundary vintage is NOT reliably 2015 for every feature),No known boundary issue for this district.
SD006,Andhra Pradesh,KURNOOL,Kurnool,district,15.52825,78.00023,"FAO GAUL Simplified 500m, FAO/GAUL_SIMPLIFIED_500m/2015/level2, ADM2 polygon centroid (polygon itself used for spatial aggregation in the weather/satellite pipelines, not stored in this CSV)",GAUL 2015 release (see module docstring: boundary vintage is NOT reliably 2015 for every feature),No known boundary issue for this district.
SD007,Andhra Pradesh,PRAKASAM,Prakasam,district,15.61129,79.50948,"FAO GAUL Simplified 500m, FAO/GAUL_SIMPLIFIED_500m/2015/level2, ADM2 polygon centroid (polygon itself used for spatial aggregation in the weather/satellite pipelines, not stored in this CSV)",GAUL 2015 release (see module docstring: boundary vintage is NOT reliably 2015 for every feature),No known boundary issue for this district.
SD008,Andhra Pradesh,SPSR NELLORE,Nellore,district,14.4075,79.73461,"FAO GAUL Simplified 500m, FAO/GAUL_SIMPLIFIED_500m/2015/level2, ADM2 polygon centroid (polygon itself used for spatial aggregation in the weather/satellite pipelines, not stored in this CSV)",GAUL 2015 release (see module docstring: boundary vintage is NOT reliably 2015 for every feature),Matched via documented alias 'Nellore': Renamed from Nellore to Sri Potti Sriramulu (SPSR) Nellore in 2008; GAUL predates the rename.
SD009,Andhra Pradesh,SRIKAKULAM,Srikakulam,district,18.57067,83.97878,"FAO GAUL Simplified 500m, FAO/GAUL_SIMPLIFIED_500m/2015/level2, ADM2 polygon centroid (polygon itself used for spatial aggregation in the weather/satellite pipelines, not stored in this CSV)",GAUL 2015 release (see module docstring: boundary vintage is NOT reliably 2015 for every feature),No known boundary issue for this district.
SD010,Andhra Pradesh,VISAKHAPATANAM,Vishakhapatnam,district,17.8844,82.68205,"FAO GAUL Simplified 500m, FAO/GAUL_SIMPLIFIED_500m/2015/level2, ADM2 polygon centroid (polygon itself used for spatial aggregation in the weather/satellite pipelines, not stored in this CSV)",GAUL 2015 release (see module docstring: boundary vintage is NOT reliably 2015 for every feature),"Matched via documented alias 'Vishakhapatnam': Spelling/transliteration variant of the same district (source spells it 'Visakhapatanam', GAUL spells it 'Vishakhapatnam')."
SD011,Andhra Pradesh,VIZIANAGARAM,Vizianagaram,district,18.46477,83.36377,"FAO GAUL Simplified 500m, FAO/GAUL_SIMPLIFIED_500m/2015/level2, ADM2 polygon centroid (polygon itself used for spatial aggregation in the weather/satellite pipelines, not stored in this CSV)",GAUL 2015 release (see module docstring: boundary vintage is NOT reliably 2015 for every feature),No known boundary issue for this district.
SD012,Andhra Pradesh,WEST GODAVARI,West Godavari,district,16.88693,81.39223,"FAO GAUL Simplified 500m, FAO/GAUL_SIMPLIFIED_500m/2015/level2, ADM2 polygon centroid (polygon itself used for spatial aggregation in the weather/satellite pipelines, not stored in this CSV)",GAUL 2015 release (see module docstring: boundary vintage is NOT reliably 2015 for every feature),No known boundary issue for this district.
SD013,Tamil Nadu,ARIYALUR,Ariyalur,district,11.14662,79.22811,"FAO GAUL Simplified 500m, FAO/GAUL_SIMPLIFIED_500m/2015/level2, ADM2 polygon centroid (polygon itself used for spatial aggregation in the weather/satellite pipelines, not stored in this CSV)",GAUL 2015 release (see module docstring: boundary vintage is NOT reliably 2015 for every feature),No known boundary issue for this district.
SD014,Tamil Nadu,CHENGALPATTU,Chengalputtu,district,12.8752,79.90175,"geoBoundaries (geoboundaries.org), India ADM2, boundaryYearRepresented=2021, sourceDataUpdateDate=2023-01-19, underlying source: India Local Government Directory (lgdirectory.gov.in) + Pathways Data Pvt Ltd, license ODbL 1.0, retrieved 2026-09-04. NOT the same source as this registry's GAUL-matched rows - see this row's administrative_boundary_notes. Cached feature: data\metadata\boundary_sources\tn_districts_geoboundaries\SD014_geoboundaries.geojson","geoBoundaries 2021-represented release (build 2023-12-12), shapeID=76128533B88669134807148","Resolved via geoBoundaries (an internationally-recognized open administrative boundary dataset, not FAO GAUL) because this district was formed after GAUL's boundary vintage and has no GAUL entry (see district_registry_build.py's own docstring on this). | Matched via documented alias 'Chengalputtu': Spelling variant of the same district (source spells it 'Chengalpattu', geoBoundaries spells it 'Chengalputtu')."
SD015,Tamil Nadu,CHENNAI,Chennai,district,13.04745,80.23491,"FAO GAUL Simplified 500m, FAO/GAUL_SIMPLIFIED_500m/2015/level2, ADM2 polygon centroid (polygon itself used for spatial aggregation in the weather/satellite pipelines, not stored in this CSV)",GAUL 2015 release (see module docstring: boundary vintage is NOT reliably 2015 for every feature),No known boundary issue for this district.
SD016,Tamil Nadu,COIMBATORE,Coimbatore,district,10.83657,77.07193,"FAO GAUL Simplified 500m, FAO/GAUL_SIMPLIFIED_500m/2015/level2, ADM2 polygon centroid (polygon itself used for spatial aggregation in the weather/satellite pipelines, not stored in this CSV)",GAUL 2015 release (see module docstring: boundary vintage is NOT reliably 2015 for every feature),No known boundary issue for this district.
SD017,Tamil Nadu,CUDDALORE,Cuddalore,district,11.52522,79.44547,"FAO GAUL Simplified 500m, FAO/GAUL_SIMPLIFIED_500m/2015/level2, ADM2 polygon centroid (polygon itself used for spatial aggregation in the weather/satellite pipelines, not stored in this CSV)",GAUL 2015 release (see module docstring: boundary vintage is NOT reliably 2015 for every feature),No known boundary issue for this district.
SD018,Tamil Nadu,DHARMAPURI,Dharmapuri,district,12.29548,78.09772,"FAO GAUL Simplified 500m, FAO/GAUL_SIMPLIFIED_500m/2015/level2, ADM2 polygon centroid (polygon itself used for spatial aggregation in the weather/satellite pipelines, not stored in this CSV)",GAUL 2015 release (see module docstring: boundary vintage is NOT reliably 2015 for every feature),No known boundary issue for this district.
SD019,Tamil Nadu,DINDIGUL,Dindigul,district,10.37923,77.80489,"FAO GAUL Simplified 500m, FAO/GAUL_SIMPLIFIED_500m/2015/level2, ADM2 polygon centroid (polygon itself used for spatial aggregation in the weather/satellite pipelines, not stored in this CSV)",GAUL 2015 release (see module docstring: boundary vintage is NOT reliably 2015 for every feature),No known boundary issue for this district.
SD020,Tamil Nadu,ERODE,Erode,district,11.31897,77.44716,"FAO GAUL Simplified 500m, FAO/GAUL_SIMPLIFIED_500m/2015/level2, ADM2 polygon centroid (polygon itself used for spatial aggregation in the weather/satellite pipelines, not stored in this CSV)",GAUL 2015 release (see module docstring: boundary vintage is NOT reliably 2015 for every feature),No known boundary issue for this district.
SD021,Tamil Nadu,KALLAKURICHI,Kallakurichi,district,11.7562,79.04046,"geoBoundaries (geoboundaries.org), India ADM2, boundaryYearRepresented=2021, sourceDataUpdateDate=2023-01-19, underlying source: India Local Government Directory (lgdirectory.gov.in) + Pathways Data Pvt Ltd, license ODbL 1.0, retrieved 2026-09-04. NOT the same source as this registry's GAUL-matched rows - see this row's administrative_boundary_notes. Cached feature: data\metadata\boundary_sources\tn_districts_geoboundaries\SD021_geoboundaries.geojson","geoBoundaries 2021-represented release (build 2023-12-12), shapeID=76128533B19545859035458","Resolved via geoBoundaries (an internationally-recognized open administrative boundary dataset, not FAO GAUL) because this district was formed after GAUL's boundary vintage and has no GAUL entry (see district_registry_build.py's own docstring on this)."
SD022,Tamil Nadu,KANCHEEPURAM,Kancheepuram,district,12.68029,79.93673,"FAO GAUL Simplified 500m, FAO/GAUL_SIMPLIFIED_500m/2015/level2, ADM2 polygon centroid (polygon itself used for spatial aggregation in the weather/satellite pipelines, not stored in this CSV)",GAUL 2015 release (see module docstring: boundary vintage is NOT reliably 2015 for every feature),No known boundary issue for this district.
SD023,Tamil Nadu,KANNIYAKUMARI,Kanniyakumari,district,8.30591,77.34619,"FAO GAUL Simplified 500m, FAO/GAUL_SIMPLIFIED_500m/2015/level2, ADM2 polygon centroid (polygon itself used for spatial aggregation in the weather/satellite pipelines, not stored in this CSV)",GAUL 2015 release (see module docstring: boundary vintage is NOT reliably 2015 for every feature),No known boundary issue for this district.
SD024,Tamil Nadu,KARUR,Karur,district,10.83178,78.11844,"FAO GAUL Simplified 500m, FAO/GAUL_SIMPLIFIED_500m/2015/level2, ADM2 polygon centroid (polygon itself used for spatial aggregation in the weather/satellite pipelines, not stored in this CSV)",GAUL 2015 release (see module docstring: boundary vintage is NOT reliably 2015 for every feature),No known boundary issue for this district.
SD025,Tamil Nadu,KRISHNAGIRI,Krishnagiri,district,12.4688,78.09995,"geoBoundaries (geoboundaries.org), India ADM2, boundaryYearRepresented=2021, sourceDataUpdateDate=2023-01-19, underlying source: India Local Government Directory (lgdirectory.gov.in) + Pathways Data Pvt Ltd, license ODbL 1.0, retrieved 2026-09-04. NOT the same source as this registry's GAUL-matched rows - see this row's administrative_boundary_notes. Cached feature: data\metadata\boundary_sources\tn_districts_geoboundaries\SD025_geoboundaries.geojson","geoBoundaries 2021-represented release (build 2023-12-12), shapeID=76128533B35717069663408","Resolved via geoBoundaries (an internationally-recognized open administrative boundary dataset, not FAO GAUL) because this district was formed after GAUL's boundary vintage and has no GAUL entry (see district_registry_build.py's own docstring on this)."
SD026,Tamil Nadu,MADURAI,Madurai,district,9.90988,77.98925,"FAO GAUL Simplified 500m, FAO/GAUL_SIMPLIFIED_500m/2015/level2, ADM2 polygon centroid (polygon itself used for spatial aggregation in the weather/satellite pipelines, not stored in this CSV)",GAUL 2015 release (see module docstring: boundary vintage is NOT reliably 2015 for every feature),No known boundary issue for this district.
SD027,Tamil Nadu,MAYILADUTHURAI,Mayiladuthurai,district,11.08741,79.65269,"geoBoundaries (geoboundaries.org), India ADM2, boundaryYearRepresented=2021, sourceDataUpdateDate=2023-01-19, underlying source: India Local Government Directory (lgdirectory.gov.in) + Pathways Data Pvt Ltd, license ODbL 1.0, retrieved 2026-09-04. NOT the same source as this registry's GAUL-matched rows - see this row's administrative_boundary_notes. Cached feature: data\metadata\boundary_sources\tn_districts_geoboundaries\SD027_geoboundaries.geojson","geoBoundaries 2021-represented release (build 2023-12-12), shapeID=76128533B63176236753619","Resolved via geoBoundaries (an internationally-recognized open administrative boundary dataset, not FAO GAUL) because this district was formed after GAUL's boundary vintage and has no GAUL entry (see district_registry_build.py's own docstring on this)."
SD028,Tamil Nadu,NAGAPATTINAM,Nagapattinam,district,10.76526,79.63351,"FAO GAUL Simplified 500m, FAO/GAUL_SIMPLIFIED_500m/2015/level2, ADM2 polygon centroid (polygon itself used for spatial aggregation in the weather/satellite pipelines, not stored in this CSV)",GAUL 2015 release (see module docstring: boundary vintage is NOT reliably 2015 for every feature),No known boundary issue for this district.
SD029,Tamil Nadu,NAMAKKAL,Namakkal,district,11.30526,78.1223,"FAO GAUL Simplified 500m, FAO/GAUL_SIMPLIFIED_500m/2015/level2, ADM2 polygon centroid (polygon itself used for spatial aggregation in the weather/satellite pipelines, not stored in this CSV)",GAUL 2015 release (see module docstring: boundary vintage is NOT reliably 2015 for every feature),No known boundary issue for this district.
SD030,Tamil Nadu,PERAMBALUR,Perambalur,district,11.26052,78.87784,"FAO GAUL Simplified 500m, FAO/GAUL_SIMPLIFIED_500m/2015/level2, ADM2 polygon centroid (polygon itself used for spatial aggregation in the weather/satellite pipelines, not stored in this CSV)",GAUL 2015 release (see module docstring: boundary vintage is NOT reliably 2015 for every feature),No known boundary issue for this district.
SD031,Tamil Nadu,PUDUKKOTTAI,Pudukkottai,district,10.34202,78.86675,"FAO GAUL Simplified 500m, FAO/GAUL_SIMPLIFIED_500m/2015/level2, ADM2 polygon centroid (polygon itself used for spatial aggregation in the weather/satellite pipelines, not stored in this CSV)",GAUL 2015 release (see module docstring: boundary vintage is NOT reliably 2015 for every feature),No known boundary issue for this district.
SD032,Tamil Nadu,RAMANATHAPURAM,Ramanathapuram,district,9.44271,78.67954,"FAO GAUL Simplified 500m, FAO/GAUL_SIMPLIFIED_500m/2015/level2, ADM2 polygon centroid (polygon itself used for spatial aggregation in the weather/satellite pipelines, not stored in this CSV)",GAUL 2015 release (see module docstring: boundary vintage is NOT reliably 2015 for every feature),No known boundary issue for this district.
SD033,Tamil Nadu,RANIPET,Ranipet,district,12.94007,79.41903,"geoBoundaries (geoboundaries.org), India ADM2, boundaryYearRepresented=2021, sourceDataUpdateDate=2023-01-19, underlying source: India Local Government Directory (lgdirectory.gov.in) + Pathways Data Pvt Ltd, license ODbL 1.0, retrieved 2026-09-04. NOT the same source as this registry's GAUL-matched rows - see this row's administrative_boundary_notes. Cached feature: data\metadata\boundary_sources\tn_districts_geoboundaries\SD033_geoboundaries.geojson","geoBoundaries 2021-represented release (build 2023-12-12), shapeID=76128533B22687502928564","Resolved via geoBoundaries (an internationally-recognized open administrative boundary dataset, not FAO GAUL) because this district was formed after GAUL's boundary vintage and has no GAUL entry (see district_registry_build.py's own docstring on this)."
SD034,Tamil Nadu,SALEM,Salem,district,11.66322,78.20912,"FAO GAUL Simplified 500m, FAO/GAUL_SIMPLIFIED_500m/2015/level2, ADM2 polygon centroid (polygon itself used for spatial aggregation in the weather/satellite pipelines, not stored in this CSV)",GAUL 2015 release (see module docstring: boundary vintage is NOT reliably 2015 for every feature),No known boundary issue for this district.
SD035,Tamil Nadu,SIVAGANGAI,Sivaganga,district,9.90705,78.57578,"FAO GAUL Simplified 500m, FAO/GAUL_SIMPLIFIED_500m/2015/level2, ADM2 polygon centroid (polygon itself used for spatial aggregation in the weather/satellite pipelines, not stored in this CSV)",GAUL 2015 release (see module docstring: boundary vintage is NOT reliably 2015 for every feature),Matched via documented alias 'Sivaganga': Transliteration variant (trailing 'i').
SD036,Tamil Nadu,TENKASI,Tenkasi,district,9.06181,77.51841,"geoBoundaries (geoboundaries.org), India ADM2, boundaryYearRepresented=2021, sourceDataUpdateDate=2023-01-19, underlying source: India Local Government Directory (lgdirectory.gov.in) + Pathways Data Pvt Ltd, license ODbL 1.0, retrieved 2026-09-04. NOT the same source as this registry's GAUL-matched rows - see this row's administrative_boundary_notes. Cached feature: data\metadata\boundary_sources\tn_districts_geoboundaries\SD036_geoboundaries.geojson","geoBoundaries 2021-represented release (build 2023-12-12), shapeID=76128533B27604563137530","Resolved via geoBoundaries (an internationally-recognized open administrative boundary dataset, not FAO GAUL) because this district was formed after GAUL's boundary vintage and has no GAUL entry (see district_registry_build.py's own docstring on this)."
SD037,Tamil Nadu,THANJAVUR,Thanjavur,district,10.65492,79.22358,"FAO GAUL Simplified 500m, FAO/GAUL_SIMPLIFIED_500m/2015/level2, ADM2 polygon centroid (polygon itself used for spatial aggregation in the weather/satellite pipelines, not stored in this CSV)",GAUL 2015 release (see module docstring: boundary vintage is NOT reliably 2015 for every feature),No known boundary issue for this district.
SD038,Tamil Nadu,THE NILGIRIS,Nilgiris,district,11.44837,76.63283,"FAO GAUL Simplified 500m, FAO/GAUL_SIMPLIFIED_500m/2015/level2, ADM2 polygon centroid (polygon itself used for spatial aggregation in the weather/satellite pipelines, not stored in this CSV)",GAUL 2015 release (see module docstring: boundary vintage is NOT reliably 2015 for every feature),"Matched via documented alias 'Nilgiris': Source includes the article 'The', GAUL's ADM2_NAME does not."
SD039,Tamil Nadu,THENI,Theni,district,9.88066,77.42388,"FAO GAUL Simplified 500m, FAO/GAUL_SIMPLIFIED_500m/2015/level2, ADM2 polygon centroid (polygon itself used for spatial aggregation in the weather/satellite pipelines, not stored in this CSV)",GAUL 2015 release (see module docstring: boundary vintage is NOT reliably 2015 for every feature),No known boundary issue for this district.
SD040,Tamil Nadu,THIRUVALLUR,Thiruvallur,district,13.23064,79.92589,"FAO GAUL Simplified 500m, FAO/GAUL_SIMPLIFIED_500m/2015/level2, ADM2 polygon centroid (polygon itself used for spatial aggregation in the weather/satellite pipelines, not stored in this CSV)",GAUL 2015 release (see module docstring: boundary vintage is NOT reliably 2015 for every feature),No known boundary issue for this district.
SD041,Tamil Nadu,THOOTHUKUDI,Thoothukudi,district,8.87613,77.98878,"FAO GAUL Simplified 500m, FAO/GAUL_SIMPLIFIED_500m/2015/level2, ADM2 polygon centroid (polygon itself used for spatial aggregation in the weather/satellite pipelines, not stored in this CSV)",GAUL 2015 release (see module docstring: boundary vintage is NOT reliably 2015 for every feature),No known boundary issue for this district.
SD042,Tamil Nadu,TIRUCHIRAPALLI,Tiruchchirappalli,district,10.8767,78.55484,"FAO GAUL Simplified 500m, FAO/GAUL_SIMPLIFIED_500m/2015/level2, ADM2 polygon centroid (polygon itself used for spatial aggregation in the weather/satellite pipelines, not stored in this CSV)",GAUL 2015 release (see module docstring: boundary vintage is NOT reliably 2015 for every feature),Matched via documented alias 'Tiruchchirappalli': Transliteration variant (consonant doubling).
SD043,Tamil Nadu,TIRUNELVELI,Tirunelveli Kattabo,district,8.78976,77.52329,"FAO GAUL Simplified 500m, FAO/GAUL_SIMPLIFIED_500m/2015/level2, ADM2 polygon centroid (polygon itself used for spatial aggregation in the weather/satellite pipelines, not stored in this CSV)",GAUL 2015 release (see module docstring: boundary vintage is NOT reliably 2015 for every feature),"Matched via documented alias 'Tirunelveli Kattabo': GAUL's own ADM2_NAME field is truncated at 20 characters to 'Tirunelveli Kattabo' (verified directly from the GAUL feature - not this script's truncation), apparently from 'Tirunelveli Kattabomman', a real alternate official name Tirunelveli district used c. 2008-2011."
SD044,Tamil Nadu,TIRUPATHUR,Tirupathur,district,12.59218,78.65621,"geoBoundaries (geoboundaries.org), India ADM2, boundaryYearRepresented=2021, sourceDataUpdateDate=2023-01-19, underlying source: India Local Government Directory (lgdirectory.gov.in) + Pathways Data Pvt Ltd, license ODbL 1.0, retrieved 2026-09-04. NOT the same source as this registry's GAUL-matched rows - see this row's administrative_boundary_notes. Cached feature: data\metadata\boundary_sources\tn_districts_geoboundaries\SD044_geoboundaries.geojson","geoBoundaries 2021-represented release (build 2023-12-12), shapeID=76128533B11403491783632","Resolved via geoBoundaries (an internationally-recognized open administrative boundary dataset, not FAO GAUL) because this district was formed after GAUL's boundary vintage and has no GAUL entry (see district_registry_build.py's own docstring on this)."
SD045,Tamil Nadu,TIRUPPUR,Tiruppur,district,10.97001,77.42422,"geoBoundaries (geoboundaries.org), India ADM2, boundaryYearRepresented=2021, sourceDataUpdateDate=2023-01-19, underlying source: India Local Government Directory (lgdirectory.gov.in) + Pathways Data Pvt Ltd, license ODbL 1.0, retrieved 2026-09-04. NOT the same source as this registry's GAUL-matched rows - see this row's administrative_boundary_notes. Cached feature: data\metadata\boundary_sources\tn_districts_geoboundaries\SD045_geoboundaries.geojson","geoBoundaries 2021-represented release (build 2023-12-12), shapeID=76128533B57036825942975","Resolved via geoBoundaries (an internationally-recognized open administrative boundary dataset, not FAO GAUL) because this district was formed after GAUL's boundary vintage and has no GAUL entry (see district_registry_build.py's own docstring on this)."
SD046,Tamil Nadu,TIRUVALLUR,Thiruvallur,district,13.23064,79.92589,"FAO GAUL Simplified 500m, FAO/GAUL_SIMPLIFIED_500m/2015/level2, ADM2 polygon centroid (polygon itself used for spatial aggregation in the weather/satellite pipelines, not stored in this CSV)",GAUL 2015 release (see module docstring: boundary vintage is NOT reliably 2015 for every feature),Matched via documented alias 'Thiruvallur': Transliteration variant ('Th' vs 'T').
SD047,Tamil Nadu,TIRUVANNAMALAI,Tiruvannamalai,district,12.41867,79.15428,"FAO GAUL Simplified 500m, FAO/GAUL_SIMPLIFIED_500m/2015/level2, ADM2 polygon centroid (polygon itself used for spatial aggregation in the weather/satellite pipelines, not stored in this CSV)",GAUL 2015 release (see module docstring: boundary vintage is NOT reliably 2015 for every feature),No known boundary issue for this district.
SD048,Tamil Nadu,TIRUVARUR,Thiruvarur,district,10.7856,79.51453,"geoBoundaries (geoboundaries.org), India ADM2, boundaryYearRepresented=2021, sourceDataUpdateDate=2023-01-19, underlying source: India Local Government Directory (lgdirectory.gov.in) + Pathways Data Pvt Ltd, license ODbL 1.0, retrieved 2026-09-04. NOT the same source as this registry's GAUL-matched rows - see this row's administrative_boundary_notes. Cached feature: data\metadata\boundary_sources\tn_districts_geoboundaries\SD048_geoboundaries.geojson","geoBoundaries 2021-represented release (build 2023-12-12), shapeID=76128533B45072089356239","Resolved via geoBoundaries (an internationally-recognized open administrative boundary dataset, not FAO GAUL) because this district was formed after GAUL's boundary vintage and has no GAUL entry (see district_registry_build.py's own docstring on this). | Matched via documented alias 'Thiruvarur': Transliteration variant ('Th' vs 'T'), same pattern already documented for Thiruvallur in the GAUL-matched rows."
SD049,Tamil Nadu,VELLORE,Vellore,district,12.80079,78.9977,"FAO GAUL Simplified 500m, FAO/GAUL_SIMPLIFIED_500m/2015/level2, ADM2 polygon centroid (polygon itself used for spatial aggregation in the weather/satellite pipelines, not stored in this CSV)",GAUL 2015 release (see module docstring: boundary vintage is NOT reliably 2015 for every feature),No known boundary issue for this district.
SD050,Tamil Nadu,VILLUPURAM,Villupuram,district,11.96057,79.28477,"FAO GAUL Simplified 500m, FAO/GAUL_SIMPLIFIED_500m/2015/level2, ADM2 polygon centroid (polygon itself used for spatial aggregation in the weather/satellite pipelines, not stored in this CSV)",GAUL 2015 release (see module docstring: boundary vintage is NOT reliably 2015 for every feature),No known boundary issue for this district.
SD051,Tamil Nadu,VIRUDHUNAGAR,Virudhunagar,district,9.48066,77.89437,"FAO GAUL Simplified 500m, FAO/GAUL_SIMPLIFIED_500m/2015/level2, ADM2 polygon centroid (polygon itself used for spatial aggregation in the weather/satellite pipelines, not stored in this CSV)",GAUL 2015 release (see module docstring: boundary vintage is NOT reliably 2015 for every feature),No known boundary issue for this district.
SD052,Telangana,ADILABAD,Adilabad,district,19.2551,78.96704,"FAO GAUL Simplified 500m, FAO/GAUL_SIMPLIFIED_500m/2015/level2, ADM2 polygon centroid (polygon itself used for spatial aggregation in the weather/satellite pipelines, not stored in this CSV)",GAUL 2015 release (see module docstring: boundary vintage is NOT reliably 2015 for every feature),"GAUL's own ADM1_NAME for this district is 'Andhra Pradesh', not 'Telangana'. This district is one of Telangana's 10 districts; GAUL 2015 has no separate 'Telangana' ADM1 entity, so it groups this district under the pre-2014 undivided Andhra Pradesh. The district's own boundary is unaffected by the 2014 state split (only the state-level grouping changed), so the polygon itself is usable, but yield records for years before June 2014 must not be described as contemporaneous Telangana-state statistics on the strength of this geometry match - see data/raw/external/official_yield/telangana/source_metadata.md."
